Brand Name,Generic Name,Category,Sub Category,Staff Price,Wholesale Price,Distributor Price
NEXOCAL-D3,Calcium + Vitamin D3 Tablets,Supplements,Vitamins,4500,5200,5000
VITA-MAX 500,Ascorbic Acid 500mg,Vitamins,C-Vitamins,1200,1500,1350
LUMEN PLUS,Lutein & Zeaxanthin Softgels,Eye Care,,6000,7500,7200
OXYBREEZE,Salbutamol Inhaler 100mcg,Respiratory,,2200,2800,2650
DERMACLEAR,Salicylic Acid 2% Face Wash,Skincare,Cleansers,3100,4000,3800
NEURO-B FORTE,Vitamin B-Complex Tablets,Supplements,,1800,2200,2050
GASTROSOOTHE,Omeprazole 20mg Capsules,Gastrointestinal,Antacids,2500,3200,3000
ALLERGY-X,Cetirizine Hydrochloride 10mg,Antihistamines,,900,1200,1050
FLEX-JOINT PRO,Glucosamine Chondroitin,Joint Health,,8500,10000,9500
IRON-SURE PLUS,Iron & Folic Acid Syrup,Supplements,Blood Builders,2100,2600,2450
RELAXON NIGHT,Melatonin 5mg Tablets,Sleep Aids,,3400,4200,3950
PRO-BIOTA 50B,Probiotic 50 Billion CFU,Digestive Health,,7800,9500,9000
CARDIO-Q10,Coenzyme Q10 100mg,Heart Health,,9200,11500,10800
PAIN-AWAY MAX,Ibuprofen 400mg + Paracetamol,Analgesics,,1500,1900,1750
HEPA-GUARD,Silymarin 140mg Extract,Liver Health,,5600,7000,6600
FOCUS-XT,Omega-3 Fish Oil 1000mg,Brain Health,,6200,7800,7400
THYRO-CARE,Levothyroxine 50mcg,Endocrine,,2800,3500,3300
LIPID-LOWER,Atorvastatin 10mg,Cardiovascular,,3200,4000,3800
ZINC-SHIELD,Zinc Picolinate 50mg,Immune Support,,2600,3300,3100
MAGNE-CALM,Magnesium Glycinate 400mg,Supplements,Minerals,4800,6000,5650
AQUA-HYDRATE,Oral Rehydration Salts,First Aid,,800,1000,900
COUGH-FREE DM,Dextromethorphan Syrup 100ml,Cold & Cough,,1900,2400,2200
